"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19640218","US","SHFT","l20","","","MACKEREL"
"19640220","US","SHFT","24","37.11N","116.04W","KLICKITA"
"19640312","US","SHFT","l20","","","HANDICAP"
"19640313","US","SHFT","l20","36.901N","116.201W","PIKE"
"19640315","CP","UNDG","20-150","49.815N","078.075E",""
"19640414","US","SHFT","l20","37.150N","115.980W","HOOK"
"19640415","US","SHFT","l20","37.102N","116.402W","STURGEON"
"19640417","US","SHFT","l20","","","BOGEY"
"19640424","US","SHFT","20-200","37.070N","116.110W","TURF"
"19640429","US","SHFT","l20","37.040N","116.040W","PIPEFISH"
"19640507","US","SHFT","l20","","","DRIVER"
"19640514","US","SHFT","l20","36.405N","115.803W","BACKSWIN"
"19640515","US","SHFT","l20","37.100N","116.000W","MINNOW"
"19640516","CP","UNDG","20-150","49.807N","078.101E",""
"19640611","US","SHFT","l20","37.160N","115.901W","ACE"
"19640612","US","SHFT","l20","","","BITTERLI"
"19640615","FR","TUNN","l20","24.067N","005.035E","TOPAZE"
"19640618","US","SHFT","l20","","","DUFFER"
"19640625","US","SHFT","l20","37.050N","116.070W","FADE"
"19640630","US","SHFT","l20","37.130N","116.100W","DUB"
"19640716","US","SHFT","20-200","37.100N","116.070W","BYE"
"19640717","GB","SHFT","l20","","","CORMORAN"
"19640719","CP","UNDG","l20","49.809N","078.092E",""
"19640723","US","SHFT","l20","","","LINKS"
"19640724","US","SHFT","l20","","","TROGON"
"19640819","US","SHFT","l20","37.101N","116.001W","ALVA"
"19640822","US","SHFT","l20","37.004N","116.001W","CANVASBA"
"19640827","US","SHFT","l20","","","PLAYER"
